index,Question,Segment Type,Segment Description,Answer,Count,Percentage
63,What do you think when an influencer is obviously selling a product?,University,University of North Carolina,Other (comment) ,2,0.056
64,What do you think when an influencer is obviously selling a product?,University,Stanford University,Is this product cool?,0,0.0
65,What do you think when an influencer is obviously selling a product?,University,Stanford University,This is lame,1,0.333
66,What do you think when an influencer is obviously selling a product?,University,Stanford University,Get that money! ,1,0.333
67,What do you think when an influencer is obviously selling a product?,University,Stanford University,Other (comment) ,1,0.333
68,What do you think when an influencer is obviously selling a product?,University,University of Arkansas,Is this product cool?,0,0.0
69,What do you think when an influencer is obviously selling a product?,University,University of Arkansas,This is lame,3,0.5
70,What do you think when an influencer is obviously selling a product?,University,University of Arkansas,Get that money! ,2,0.333
71,What do you think when an influencer is obviously selling a product?,University,University of Arkansas,Other (comment) ,1,0.167
72,What do you think when an influencer is obviously selling a product?,University,Indiana University,Is this product cool?,5,0.135
73,What do you think when an influencer is obviously selling a product?,University,Indiana University,This is lame,21,0.568
74,What do you think when an influencer is obviously selling a product?,University,Indiana University,Get that money! ,9,0.243
75,What do you think when an influencer is obviously selling a product?,University,Indiana University,Other (comment) ,2,0.054
76,What do you think when an influencer is obviously selling a product?,University,Whitman College,Is this product cool?,4,0.444
77,What do you think when an influencer is obviously selling a product?,University,Whitman College,This is lame,3,0.333
78,What do you think when an influencer is obviously selling a product?,University,Whitman College,Get that money! ,0,0.0
79,What do you think when an influencer is obviously selling a product?,University,Whitman College,Other (comment) ,2,0.222
80,What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,Is this product cool?,15,0.214
81,What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,This is lame,32,0.457
82,What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,Get that money! ,12,0.171
83,What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,Other (comment) ,11,0.157
84,What do you think when an influencer is obviously selling a product?,University,Santa Clara University,Is this product cool?,1,0.333
85,What do you think when an influencer is obviously selling a product?,University,Santa Clara University,This is lame,2,0.667
86,What do you think when an influencer is obviously selling a product?,University,Santa Clara University,Get that money! ,0,0.0
87,What do you think when an influencer is obviously selling a product?,University,Santa Clara University,Other (comment) ,0,0.0
88,What do you think when an influencer is obviously selling a product?,University,University of Arizona,Is this product cool?,3,0.12
89,What do you think when an influencer is obviously selling a product?,University,University of Arizona,This is lame,8,0.32
90,What do you think when an influencer is obviously selling a product?,University,University of Arizona,Get that money! ,12,0.48
91,What do you think when an influencer is obviously selling a product?,University,University of Arizona,Other (comment) ,2,0.08
92,What do you think when an influencer is obviously selling a product?,University,University of Michigan,Is this product cool?,1,0.05
93,What do you think when an influencer is obviously selling a product?,University,University of Michigan,This is lame,15,0.75
94,What do you think when an influencer is obviously selling a product?,University,University of Michigan,Get that money! ,4,0.2
95,What do you think when an influencer is obviously selling a product?,University,University of Michigan,Other (comment) ,0,0.0
96,What do you think when an influencer is obviously selling a product?,University,University of Illinois,Is this product cool?,20,0.323
97,What do you think when an influencer is obviously selling a product?,University,University of Illinois,This is lame,22,0.355
98,What do you think when an influencer is obviously selling a product?,University,University of Illinois,Get that money! ,12,0.194
99,What do you think when an influencer is obviously selling a product?,University,University of Illinois,Other (comment) ,8,0.129
100,What do you think when an influencer is obviously selling a product?,University,Missouri State University,Is this product cool?,4,0.4
101,What do you think when an influencer is obviously selling a product?,University,Missouri State University,This is lame,4,0.4
102,What do you think when an influencer is obviously selling a product?,University,Missouri State University,Get that money! ,1,0.1
103,What do you think when an influencer is obviously selling a product?,University,Missouri State University,Other (comment) ,1,0.1
104,What do you think when an influencer is obviously selling a product?,University,University of Texas,Is this product cool?,5,0.455
105,What do you think when an influencer is obviously selling a product?,University,University of Texas,This is lame,1,0.091
106,What do you think when an influencer is obviously selling a product?,University,University of Texas,Get that money! ,5,0.455
107,What do you think when an influencer is obviously selling a product?,University,University of Texas,Other (comment) ,0,0.0
108,What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,Is this product cool?,0,0.0
109,What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,This is lame,0,0.0
110,What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,Get that money! ,0,0.0
111,What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,Other (comment) ,1,1.0
112,What do you think when an influencer is obviously selling a product?,University,Cornell University,Is this product cool?,18,0.22
113,What do you think when an influencer is obviously selling a product?,University,Cornell University,This is lame,31,0.378
114,What do you think when an influencer is obviously selling a product?,University,Cornell University,Get that money! ,25,0.305
115,What do you think when an influencer is obviously selling a product?,University,Cornell University,Other (comment) ,8,0.098
116,What do you think when an influencer is obviously selling a product?,University,San Diego State University,Is this product cool?,25,0.255
117,What do you think when an influencer is obviously selling a product?,University,San Diego State University,This is lame,46,0.469
118,What do you think when an influencer is obviously selling a product?,University,San Diego State University,Get that money! ,19,0.194
119,What do you think when an influencer is obviously selling a product?,University,San Diego State University,Other (comment) ,8,0.082
120,What do you think when an influencer is obviously selling a product?,University,Vassar College,Is this product cool?,0,0.0
121,What do you think when an influencer is obviously selling a product?,University,Vassar College,This is lame,1,1.0
122,What do you think when an influencer is obviously selling a product?,University,Vassar College,Get that money! ,0,0.0
123,What do you think when an influencer is obviously selling a product?,University,Vassar College,Other (comment) ,0,0.0
124,What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,Is this product cool?,0,0.0
125,What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,This is lame,1,1.0
126,What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,Get that money! ,0,0.0
127,What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,Other (comment) ,0,0.0
128,What do you think when an influencer is obviously selling a product?,University,North Dakota State University,Is this product cool?,1,0.25
129,What do you think when an influencer is obviously selling a product?,University,North Dakota State University,This is lame,0,0.0
130,What do you think when an influencer is obviously selling a product?,University,North Dakota State University,Get that money! ,2,0.5
131,What do you think when an influencer is obviously selling a product?,University,North Dakota State University,Other (comment) ,1,0.25
132,What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,Is this product cool?,9,0.209
133,What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,This is lame,17,0.395
134,What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,Get that money! ,12,0.279
135,What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,Other (comment) ,5,0.116
136,What do you think when an influencer is obviously selling a product?,University,Duke University,Is this product cool?,1,0.333
137,What do you think when an influencer is obviously selling a product?,University,Duke University,This is lame,2,0.667
138,What do you think when an influencer is obviously selling a product?,University,Duke University,Get that money! ,0,0.0
139,What do you think when an influencer is obviously selling a product?,University,Duke University,Other (comment) ,0,0.0
140,What do you think when an influencer is obviously selling a product?,University,Chapman University,Is this product cool?,1,0.2
141,What do you think when an influencer is obviously selling a product?,University,Chapman University,This is lame,2,0.4
142,What do you think when an influencer is obviously selling a product?,University,Chapman University,Get that money! ,2,0.4
143,What do you think when an influencer is obviously selling a product?,University,Chapman University,Other (comment) ,0,0.0
144,What do you think when an influencer is obviously selling a product?,University,College of William and Mary,Is this product cool?,12,0.171
145,What do you think when an influencer is obviously selling a product?,University,College of William and Mary,This is lame,36,0.514
146,What do you think when an influencer is obviously selling a product?,University,College of William and Mary,Get that money! ,19,0.271
147,What do you think when an influencer is obviously selling a product?,University,College of William and Mary,Other (comment) ,3,0.043
148,What do you think when an influencer is obviously selling a product?,University,University of Virginia,Is this product cool?,36,0.2
149,What do you think when an influencer is obviously selling a product?,University,University of Virginia,This is lame,79,0.439
150,What do you think when an influencer is obviously selling a product?,University,University of Virginia,Get that money! ,53,0.294
151,What do you think when an influencer is obviously selling a product?,University,University of Virginia,Other (comment) ,12,0.067
152,What do you think when an influencer is obviously selling a product?,University,SF,Is this product cool?,0,0.0
153,What do you think when an influencer is obviously selling a product?,University,SF,This is lame,1,1.0
154,What do you think when an influencer is obviously selling a product?,University,SF,Get that money! ,0,0.0
155,What do you think when an influencer is obviously selling a product?,University,SF,Other (comment) ,0,0.0
156,What do you think when an influencer is obviously selling a product?,University,Northwestern University,Is this product cool?,10,0.127
157,What do you think when an influencer is obviously selling a product?,University,Northwestern University,This is lame,47,0.595
158,What do you think when an influencer is obviously selling a product?,University,Northwestern University,Get that money! ,20,0.253
159,What do you think when an influencer is obviously selling a product?,University,Northwestern University,Other (comment) ,2,0.025
160,What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,Is this product cool?,1,0.125
161,What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,This is lame,2,0.25
162,What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,Get that money! ,4,0.5
163,What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,Other (comment) ,1,0.125
164,What do you think when an influencer is obviously selling a product?,University,Butler University,Is this product cool?,2,0.2
165,What do you think when an influencer is obviously selling a product?,University,Butler University,This is lame,5,0.5
166,What do you think when an influencer is obviously selling a product?,University,Butler University,Get that money! ,2,0.2
167,What do you think when an influencer is obviously selling a product?,University,Butler University,Other (comment) ,1,0.1
168,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Is this product cool?,9,0.36
169,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),This is lame,12,0.48
170,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Get that money! ,4,0.16
171,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Other (comment) ,0,0.0
172,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Is this product cool?,10,0.417
173,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),This is lame,6,0.25
174,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Get that money! ,7,0.292
175,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Other (comment) ,1,0.042
176,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Is this product cool?,3,0.103
177,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),This is lame,14,0.483
178,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Get that money! ,11,0.379
179,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Other (comment) ,1,0.034
180,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Is this product cool?,1,0.05
181,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),This is lame,12,0.6
182,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Get that money! ,5,0.25
183,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Other (comment) ,2,0.1
184,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Is this product cool?,10,0.27
185,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),This is lame,16,0.432
186,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Get that money! ,5,0.135
187,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Other (comment) ,6,0.162
188,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Is this product cool?,10,0.357
189,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),This is lame,12,0.429
190,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Get that money! ,2,0.071
191,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Other (comment) ,4,0.143
192,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Is this product cool?,4,0.148
193,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),This is lame,16,0.593
194,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Get that money! ,6,0.222
195,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Other (comment) ,1,0.037
196,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Is this product cool?,7,0.226
197,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),This is lame,12,0.387
198,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Get that money! ,7,0.226
199,What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Other (comment) ,5,0.161
200,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,Is this product cool?,11,0.183
201,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,This is lame,29,0.483
202,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,Get that money! ,14,0.233
203,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,Other (comment) ,6,0.1
204,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,Is this product cool?,15,0.19
205,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,This is lame,33,0.418
206,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,Get that money! ,28,0.354
207,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,Other (comment) ,3,0.038
208,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,Is this product cool?,18,0.212
209,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,This is lame,45,0.529
210,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,Get that money! ,18,0.212
211,What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,Other (comment) ,4,0.047
212,What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,Is this product cool?,32,0.248
213,What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,This is lame,50,0.388
214,What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,Get that money! ,37,0.287
215,What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,Other (comment) ,10,0.078
216,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,Is this product cool?,156,0.207
217,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,This is lame,356,0.473
218,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,Get that money! ,184,0.245
219,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,Other (comment) ,56,0.074
220,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,Is this product cool?,53,0.301
221,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,This is lame,67,0.381
222,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,Get that money! ,43,0.244
223,What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,Other (comment) ,13,0.074
224,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",Is this product cool?,9,0.2
225,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",This is lame,24,0.533
226,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",Get that money! ,11,0.244
227,What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",Other (comment) ,1,0.022
228,What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,Is this product cool?,7,0.333
