index,Question,Segment Type,Segment Description,Answer,Count,Percentage
815,What social platform has influenced your online shopping most?,University,Emory University,Snapchat,1,0.031
816,What social platform has influenced your online shopping most?,University,Emory University,Twitter,1,0.031
817,What social platform has influenced your online shopping most?,University,Emory University,None,11,0.344
818,What social platform has influenced your online shopping most?,University,University of Richmond,Facebook,3,0.6
819,What social platform has influenced your online shopping most?,University,University of Richmond,Instagram,0,0.0
820,What social platform has influenced your online shopping most?,University,University of Richmond,Snapchat,0,0.0
821,What social platform has influenced your online shopping most?,University,University of Richmond,Twitter,0,0.0
822,What social platform has influenced your online shopping most?,University,University of Richmond,None,2,0.4
823,What social platform has influenced your online shopping most?,University,Medford High School,Facebook,0,0.0
824,What social platform has influenced your online shopping most?,University,Medford High School,Instagram,0,0.0
825,What social platform has influenced your online shopping most?,University,Medford High School,Snapchat,0,0.0
826,What social platform has influenced your online shopping most?,University,Medford High School,Twitter,0,0.0
827,What social platform has influenced your online shopping most?,University,Medford High School,None,1,1.0
828,What social platform has influenced your online shopping most?,University,Texas Christian University,Facebook,1,0.071
829,What social platform has influenced your online shopping most?,University,Texas Christian University,Instagram,7,0.5
830,What social platform has influenced your online shopping most?,University,Texas Christian University,Snapchat,0,0.0
831,What social platform has influenced your online shopping most?,University,Texas Christian University,Twitter,2,0.143
832,What social platform has influenced your online shopping most?,University,Texas Christian University,None,4,0.286
833,What social platform has influenced your online shopping most?,University,University of British Columbia,Facebook,0,0.0
834,What social platform has influenced your online shopping most?,University,University of British Columbia,Instagram,0,0.0
835,What social platform has influenced your online shopping most?,University,University of British Columbia,Snapchat,0,0.0
836,What social platform has influenced your online shopping most?,University,University of British Columbia,Twitter,0,0.0
837,What social platform has influenced your online shopping most?,University,University of British Columbia,None,1,1.0
838,What social platform has influenced your online shopping most?,University,Colby College,Facebook,0,0.0
839,What social platform has influenced your online shopping most?,University,Colby College,Instagram,2,1.0
840,What social platform has influenced your online shopping most?,University,Colby College,Snapchat,0,0.0
841,What social platform has influenced your online shopping most?,University,Colby College,Twitter,0,0.0
842,What social platform has influenced your online shopping most?,University,Colby College,None,0,0.0
843,What social platform has influenced your online shopping most?,University,Bates College,Facebook,8,0.216
844,What social platform has influenced your online shopping most?,University,Bates College,Instagram,12,0.324
845,What social platform has influenced your online shopping most?,University,Bates College,Snapchat,0,0.0
846,What social platform has influenced your online shopping most?,University,Bates College,Twitter,2,0.054
847,What social platform has influenced your online shopping most?,University,Bates College,None,15,0.405
848,What social platform has influenced your online shopping most?,University,Cornell University,Facebook,25,0.298
849,What social platform has influenced your online shopping most?,University,Cornell University,Instagram,22,0.262
850,What social platform has influenced your online shopping most?,University,Cornell University,Snapchat,2,0.024
851,What social platform has influenced your online shopping most?,University,Cornell University,Twitter,0,0.0
852,What social platform has influenced your online shopping most?,University,Cornell University,None,35,0.417
853,What social platform has influenced your online shopping most?,University,"Westport, CT",Facebook,1,1.0
854,What social platform has influenced your online shopping most?,University,"Westport, CT",Instagram,0,0.0
855,What social platform has influenced your online shopping most?,University,"Westport, CT",Snapchat,0,0.0
856,What social platform has influenced your online shopping most?,University,"Westport, CT",Twitter,0,0.0
857,What social platform has influenced your online shopping most?,University,"Westport, CT",None,0,0.0
858,What social platform has influenced your online shopping most?,University,Whitman College,Facebook,2,0.105
859,What social platform has influenced your online shopping most?,University,Whitman College,Instagram,4,0.211
860,What social platform has influenced your online shopping most?,University,Whitman College,Snapchat,3,0.158
861,What social platform has influenced your online shopping most?,University,Whitman College,Twitter,0,0.0
862,What social platform has influenced your online shopping most?,University,Whitman College,None,10,0.526
863,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Facebook,0,0.0
864,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Instagram,1,0.5
865,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Snapchat,0,0.0
866,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Twitter,0,0.0
867,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,None,1,0.5
868,What social platform has influenced your online shopping most?,University,University of Central Florida,Facebook,0,0.0
869,What social platform has influenced your online shopping most?,University,University of Central Florida,Instagram,0,0.0
870,What social platform has influenced your online shopping most?,University,University of Central Florida,Snapchat,0,0.0
871,What social platform has influenced your online shopping most?,University,University of Central Florida,Twitter,0,0.0
872,What social platform has influenced your online shopping most?,University,University of Central Florida,None,1,1.0
873,What social platform has influenced your online shopping most?,University,University of Montana ,Facebook,0,0.0
874,What social platform has influenced your online shopping most?,University,University of Montana ,Instagram,1,1.0
875,What social platform has influenced your online shopping most?,University,University of Montana ,Snapchat,0,0.0
876,What social platform has influenced your online shopping most?,University,University of Montana ,Twitter,0,0.0
877,What social platform has influenced your online shopping most?,University,University of Montana ,None,0,0.0
878,What social platform has influenced your online shopping most?,University,University of Nebraska,Facebook,0,0.0
879,What social platform has influenced your online shopping most?,University,University of Nebraska,Instagram,0,0.0
880,What social platform has influenced your online shopping most?,University,University of Nebraska,Snapchat,0,0.0
881,What social platform has influenced your online shopping most?,University,University of Nebraska,Twitter,0,0.0
882,What social platform has influenced your online shopping most?,University,University of Nebraska,None,1,1.0
883,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Facebook,0,0.0
884,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Instagram,1,1.0
885,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Snapchat,0,0.0
886,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Twitter,0,0.0
887,What social platform has influenced your online shopping most?,University,Whatsgoodly University,None,0,0.0
888,What social platform has influenced your online shopping most?,University,Tufts University,Facebook,3,0.429
889,What social platform has influenced your online shopping most?,University,Tufts University,Instagram,3,0.429
890,What social platform has influenced your online shopping most?,University,Tufts University,Snapchat,0,0.0
891,What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0.0
892,What social platform has influenced your online shopping most?,University,Tufts University,None,1,0.143
893,What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0.0
894,What social platform has influenced your online shopping most?,University,Texas Tech University,Instagram,1,1.0
895,What social platform has influenced your online shopping most?,University,Texas Tech University,Snapchat,0,0.0
896,What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0.0
897,What social platform has influenced your online shopping most?,University,Texas Tech University,None,0,0.0
898,What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0.0
899,What social platform has influenced your online shopping most?,University,Kansas State University,Instagram,0,0.0
900,What social platform has influenced your online shopping most?,University,Kansas State University,Snapchat,0,0.0
901,What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0.0
902,What social platform has influenced your online shopping most?,University,Kansas State University,None,1,1.0
903,What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0.0
904,What social platform has influenced your online shopping most?,University,University of Notre Dame,Instagram,0,0.0
905,What social platform has influenced your online shopping most?,University,University of Notre Dame,Snapchat,0,0.0
906,What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0.0
907,What social platform has influenced your online shopping most?,University,University of Notre Dame,None,1,1.0
908,What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0.0
909,What social platform has influenced your online shopping most?,University,University of Georgia,Instagram,1,1.0
910,What social platform has influenced your online shopping most?,University,University of Georgia,Snapchat,0,0.0
911,What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0.0
912,What social platform has influenced your online shopping most?,University,University of Georgia,None,0,0.0
913,What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0.0
914,What social platform has influenced your online shopping most?,University,Ohio University,Instagram,0,0.0
915,What social platform has influenced your online shopping most?,University,Ohio University,Snapchat,0,0.0
916,What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0.0
917,What social platform has influenced your online shopping most?,University,Ohio University,None,1,1.0
918,What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0.0
919,What social platform has influenced your online shopping most?,University,Washington State University,Instagram,1,1.0
920,What social platform has influenced your online shopping most?,University,Washington State University,Snapchat,0,0.0
921,What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0.0
922,What social platform has influenced your online shopping most?,University,Washington State University,None,0,0.0
923,What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0.0
924,What social platform has influenced your online shopping most?,University,Binghamtom University,Instagram,0,0.0
925,What social platform has influenced your online shopping most?,University,Binghamtom University,Snapchat,0,0.0
926,What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0.0
927,What social platform has influenced your online shopping most?,University,Binghamtom University,None,1,1.0
928,What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0.0
929,What social platform has influenced your online shopping most?,University,George Washington University,Instagram,1,1.0
930,What social platform has influenced your online shopping most?,University,George Washington University,Snapchat,0,0.0
931,What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0.0
932,What social platform has influenced your online shopping most?,University,George Washington University,None,0,0.0
933,What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0.0
934,What social platform has influenced your online shopping most?,University,University of Alabama,Instagram,1,0.333
935,What social platform has influenced your online shopping most?,University,University of Alabama,Snapchat,0,0.0
936,What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0.0
937,What social platform has influenced your online shopping most?,University,University of Alabama,None,2,0.667
938,What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0.0
939,What social platform has influenced your online shopping most?,University,University of Florida,Instagram,1,0.333
940,What social platform has influenced your online shopping most?,University,University of Florida,Snapchat,0,0.0
941,What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333
942,What social platform has influenced your online shopping most?,University,University of Florida,None,1,0.333
943,What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0.0
944,What social platform has influenced your online shopping most?,University,The College of New Jersey,Instagram,0,0.0
945,What social platform has influenced your online shopping most?,University,The College of New Jersey,Snapchat,0,0.0
946,What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0.0
947,What social platform has influenced your online shopping most?,University,The College of New Jersey,None,1,1.0
948,What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0.0
949,What social platform has influenced your online shopping most?,University,Florida State University,Instagram,1,1.0
950,What social platform has influenced your online shopping most?,University,Florida State University,Snapchat,0,0.0
951,What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0.0
952,What social platform has influenced your online shopping most?,University,Florida State University,None,0,0.0
953,What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333
954,What social platform has influenced your online shopping most?,University,Santa Clara University,Instagram,0,0.0
955,What social platform has influenced your online shopping most?,University,Santa Clara University,Snapchat,0,0.0
956,What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0.0
957,What social platform has influenced your online shopping most?,University,Santa Clara University,None,2,0.667
958,What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,6,0.24
959,What social platform has influenced your online shopping most?,University,Appalachian State University,Instagram,6,0.24
960,What social platform has influenced your online shopping most?,University,Appalachian State University,Snapchat,0,0.0
961,What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.12
962,What social platform has influenced your online shopping most?,University,Appalachian State University,None,10,0.4
963,What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0.0
964,What social platform has influenced your online shopping most?,University,Arbroath Academy,Instagram,0,0.0
965,What social platform has influenced your online shopping most?,University,Arbroath Academy,Snapchat,0,0.0
966,What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1.0
967,What social platform has influenced your online shopping most?,University,Arbroath Academy,None,0,0.0
968,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Facebook,0,0.0
969,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Instagram,0,0.0
970,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Snapchat,0,0.0
971,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Twitter,0,0.0
972,What social platform has influenced your online shopping most?,University,Arkansas Tech University ,None,1,1.0
973,What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0.0
974,What social platform has influenced your online shopping most?,University,University of Rhode Island,Instagram,0,0.0
975,What social platform has influenced your online shopping most?,University,University of Rhode Island,Snapchat,1,1.0
976,What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0.0
977,What social platform has influenced your online shopping most?,University,University of Rhode Island,None,0,0.0
978,What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333
979,What social platform has influenced your online shopping most?,University,Virginia Tech,Instagram,2,0.667
980,What social platform has influenced your online shopping most?,University,Virginia Tech,Snapchat,0,0.0
981,What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0.0
982,What social platform has influenced your online shopping most?,University,Virginia Tech,None,0,0.0
983,What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333
984,What social platform has influenced your online shopping most?,University,Syracuse University,Instagram,0,0.0
985,What social platform has influenced your online shopping most?,University,Syracuse University,Snapchat,0,0.0
986,What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0.0
987,What social platform has influenced your online shopping most?,University,Syracuse University,None,2,0.667
988,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Facebook,0,0.0
989,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Instagram,1,1.0
990,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Snapchat,0,0.0
991,What social platform has influenced your online shopping most?,University,Cypress Creek High School,Twitter,0,0.0
992,What social platform has influenced your online shopping most?,University,Cypress Creek High School,None,0,0.0
993,What social platform has influenced your online shopping most?,University,Union High School,Facebook,0,0.0
994,What social platform has influenced your online shopping most?,University,Union High School,Instagram,0,0.0
995,What social platform has influenced your online shopping most?,University,Union High School,Snapchat,0,0.0
996,What social platform has influenced your online shopping most?,University,Union High School,Twitter,0,0.0
997,What social platform has influenced your online shopping most?,University,Union High School,None,1,1.0
998,What social platform has influenced your online shopping most?,University,College of William and Mary,Facebook,22,0.282
999,What social platform has influenced your online shopping most?,University,College of William and Mary,Instagram,22,0.282
1000,What social platform has influenced your online shopping most?,University,College of William and Mary,Snapchat,3,0.038
1001,What social platform has influenced your online shopping most?,University,College of William and Mary,Twitter,1,0.013
1002,What social platform has influenced your online shopping most?,University,College of William and Mary,None,30,0.385
1003,What social platform has influenced your online shopping most?,University,Ohio State University,Facebook,0,0.0
1004,What social platform has influenced your online shopping most?,University,Ohio State University,Instagram,0,0.0
1005,What social platform has influenced your online shopping most?,University,Ohio State University,Snapchat,0,0.0
1006,What social platform has influenced your online shopping most?,University,Ohio State University,Twitter,0,0.0
1007,What social platform has influenced your online shopping most?,University,Ohio State University,None,2,1.0
1008,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Facebook,0,0.0
1009,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Instagram,0,0.0
1010,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Snapchat,1,1.0
1011,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,Twitter,0,0.0
1012,What social platform has influenced your online shopping most?,University,Gulf Breeze High School,None,0,0.0
1013,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Facebook,0,0.0
1014,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Instagram,0,0.0
1015,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Snapchat,0,0.0
1016,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Twitter,0,0.0
1017,What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,None,1,1.0
1018,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Facebook,0,0.0
1019,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Instagram,0,0.0
1020,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Snapchat,0,0.0
1021,What social platform has influenced your online shopping most?,University,Oklahoma State University ,Twitter,1,1.0
1022,What social platform has influenced your online shopping most?,University,Oklahoma State University ,None,0,0.0
1023,What social platform has influenced your online shopping most?,University,University of Texas,Facebook,6,0.333
1024,What social platform has influenced your online shopping most?,University,University of Texas,Instagram,4,0.222
1025,What social platform has influenced your online shopping most?,University,University of Texas,Snapchat,0,0.0
1026,What social platform has influenced your online shopping most?,University,University of Texas,Twitter,0,0.0
1027,What social platform has influenced your online shopping most?,University,University of Texas,None,8,0.444
1028,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Facebook,0,0.0
1029,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Instagram,0,0.0
1030,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Snapchat,0,0.0
1031,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Twitter,0,0.0
1032,What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,None,2,1.0
1033,What social platform has influenced your online shopping most?,University,University of Arizona,Facebook,8,0.229
1034,What social platform has influenced your online shopping most?,University,University of Arizona,Instagram,17,0.486
1035,What social platform has influenced your online shopping most?,University,University of Arizona,Snapchat,1,0.029
1036,What social platform has influenced your online shopping most?,University,University of Arizona,Twitter,4,0.114
1037,What social platform has influenced your online shopping most?,University,University of Arizona,None,5,0.143
1038,What social platform has influenced your online shopping most?,University,Coventry University,Facebook,0,0.0
1039,What social platform has influenced your online shopping most?,University,Coventry University,Instagram,2,1.0
1040,What social platform has influenced your online shopping most?,University,Coventry University,Snapchat,0,0.0
1041,What social platform has influenced your online shopping most?,University,Coventry University,Twitter,0,0.0
1042,What social platform has influenced your online shopping most?,University,Coventry University,None,0,0.0
1043,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Facebook,0,0.0
1044,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Instagram,0,0.0
1045,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Snapchat,1,1.0
1046,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Twitter,0,0.0
1047,What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,None,0,0.0
1048,What social platform has influenced your online shopping most?,University,Southern Methodist University,Facebook,2,0.222
1049,What social platform has influenced your online shopping most?,University,Southern Methodist University,Instagram,1,0.111
1050,What social platform has influenced your online shopping most?,University,Southern Methodist University,Snapchat,0,0.0
1051,What social platform has influenced your online shopping most?,University,Southern Methodist University,Twitter,0,0.0
1052,What social platform has influenced your online shopping most?,University,Southern Methodist University,None,6,0.667
1053,What social platform has influenced your online shopping most?,University,Colgate University,Facebook,0,0.0
1054,What social platform has influenced your online shopping most?,University,Colgate University,Instagram,0,0.0
1055,What social platform has influenced your online shopping most?,University,Colgate University,Snapchat,0,0.0
1056,What social platform has influenced your online shopping most?,University,Colgate University,Twitter,0,0.0
1057,What social platform has influenced your online shopping most?,University,Colgate University,None,2,1.0
1058,What social platform has influenced your online shopping most?,University,Northwestern University,Facebook,19,0.224
1059,What social platform has influenced your online shopping most?,University,Northwestern University,Instagram,30,0.353
1060,What social platform has influenced your online shopping most?,University,Northwestern University,Snapchat,2,0.024
1061,What social platform has influenced your online shopping most?,University,Northwestern University,Twitter,3,0.035
1062,What social platform has influenced your online shopping most?,University,Northwestern University,None,31,0.365
1063,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Facebook,0,0.0
1064,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Instagram,0,0.0
1065,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Snapchat,0,0.0
1066,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Twitter,1,1.0
1067,What social platform has influenced your online shopping most?,University,Saginaw Valley State University,None,0,0.0
1068,What social platform has influenced your online shopping most?,University,University of Missouri,Facebook,1,0.053
1069,What social platform has influenced your online shopping most?,University,University of Missouri,Instagram,1,0.053
1070,What social platform has influenced your online shopping most?,University,University of Missouri,Snapchat,0,0.0
1071,What social platform has influenced your online shopping most?,University,University of Missouri,Twitter,2,0.105
1072,What social platform has influenced your online shopping most?,University,University of Missouri,None,15,0.789
1073,What social platform has influenced your online shopping most?,University,University of Michigan,Facebook,3,0.143
1074,What social platform has influenced your online shopping most?,University,University of Michigan,Instagram,3,0.143
1075,What social platform has influenced your online shopping most?,University,University of Michigan,Snapchat,0,0.0
1076,What social platform has influenced your online shopping most?,University,University of Michigan,Twitter,1,0.048
1077,What social platform has influenced your online shopping most?,University,University of Michigan,None,14,0.667
1078,What social platform has influenced your online shopping most?,University,Boise State University,Facebook,0,0.0
1079,What social platform has influenced your online shopping most?,University,Boise State University,Instagram,1,1.0
1080,What social platform has influenced your online shopping most?,University,Boise State University,Snapchat,0,0.0
1081,What social platform has influenced your online shopping most?,University,Boise State University,Twitter,0,0.0
1082,What social platform has influenced your online shopping most?,University,Boise State University,None,0,0.0
1083,What social platform has influenced your online shopping most?,University,University of Delaware,Facebook,1,0.5
1084,What social platform has influenced your online shopping most?,University,University of Delaware,Instagram,1,0.5
1085,What social platform has influenced your online shopping most?,University,University of Delaware,Snapchat,0,0.0
1086,What social platform has influenced your online shopping most?,University,University of Delaware,Twitter,0,0.0
1087,What social platform has influenced your online shopping most?,University,University of Delaware,None,0,0.0
1088,What social platform has influenced your online shopping most?,University,University of Illinois,Facebook,11,0.169
1089,What social platform has influenced your online shopping most?,University,University of Illinois,Instagram,21,0.323
1090,What social platform has influenced your online shopping most?,University,University of Illinois,Snapchat,1,0.015
1091,What social platform has influenced your online shopping most?,University,University of Illinois,Twitter,4,0.062
1092,What social platform has influenced your online shopping most?,University,University of Illinois,None,28,0.431
1093,What social platform has influenced your online shopping most?,University,University of Washington,Facebook,7,0.28
1094,What social platform has influenced your online shopping most?,University,University of Washington,Instagram,9,0.36
1095,What social platform has influenced your online shopping most?,University,University of Washington,Snapchat,0,0.0
1096,What social platform has influenced your online shopping most?,University,University of Washington,Twitter,0,0.0
1097,What social platform has influenced your online shopping most?,University,University of Washington,None,9,0.36
1098,What social platform has influenced your online shopping most?,University,University of New Hampshire,Facebook,3,0.5
1099,What social platform has influenced your online shopping most?,University,University of New Hampshire,Instagram,2,0.333
1100,What social platform has influenced your online shopping most?,University,University of New Hampshire,Snapchat,0,0.0
1101,What social platform has influenced your online shopping most?,University,University of New Hampshire,Twitter,1,0.167
1102,What social platform has influenced your online shopping most?,University,University of New Hampshire,None,0,0.0
1103,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Facebook,0,0.0
1104,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Instagram,0,0.0
1105,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Snapchat,0,0.0
1106,What social platform has influenced your online shopping most?,University,UMass Dartmouth,Twitter,0,0.0
1107,What social platform has influenced your online shopping most?,University,UMass Dartmouth,None,2,1.0
1108,What social platform has influenced your online shopping most?,University,High Point University,Facebook,0,0.0
1109,What social platform has influenced your online shopping most?,University,High Point University,Instagram,0,0.0
1110,What social platform has influenced your online shopping most?,University,High Point University,Snapchat,0,0.0
1111,What social platform has influenced your online shopping most?,University,High Point University,Twitter,0,0.0
1112,What social platform has influenced your online shopping most?,University,High Point University,None,2,1.0
1113,What social platform has influenced your online shopping most?,University,University of Minnesota,Facebook,0,0.0
1114,What social platform has influenced your online shopping most?,University,University of Minnesota,Instagram,1,0.5
1115,What social platform has influenced your online shopping most?,University,University of Minnesota,Snapchat,0,0.0
1116,What social platform has influenced your online shopping most?,University,University of Minnesota,Twitter,0,0.0
1117,What social platform has influenced your online shopping most?,University,University of Minnesota,None,1,0.5
1118,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Facebook,10,0.161
1119,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Instagram,25,0.403
1120,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Snapchat,0,0.0
1121,What social platform has influenced your online shopping most?,University,Claremont McKenna College,Twitter,3,0.048
1122,What social platform has influenced your online shopping most?,University,Claremont McKenna College,None,24,0.387
1123,What social platform has influenced your online shopping most?,University,University of North Carolina,Facebook,11,0.234
1124,What social platform has influenced your online shopping most?,University,University of North Carolina,Instagram,9,0.191
1125,What social platform has influenced your online shopping most?,University,University of North Carolina,Snapchat,2,0.043
1126,What social platform has influenced your online shopping most?,University,University of North Carolina,Twitter,3,0.064
1127,What social platform has influenced your online shopping most?,University,University of North Carolina,None,22,0.468
1128,What social platform has influenced your online shopping most?,University,Truman State University,Facebook,16,0.39
1129,What social platform has influenced your online shopping most?,University,Truman State University,Instagram,11,0.268
1130,What social platform has influenced your online shopping most?,University,Truman State University,Snapchat,0,0.0
1131,What social platform has influenced your online shopping most?,University,Truman State University,Twitter,1,0.024
1132,What social platform has influenced your online shopping most?,University,Truman State University,None,13,0.317
1133,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Facebook,0,0.0
1134,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Instagram,2,1.0
1135,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Snapchat,0,0.0
1136,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Twitter,0,0.0
1137,What social platform has influenced your online shopping most?,University,University of Central Oklahoma,None,0,0.0
1138,What social platform has influenced your online shopping most?,University,Illinois State,Facebook,3,0.333
1139,What social platform has influenced your online shopping most?,University,Illinois State,Instagram,1,0.111
1140,What social platform has influenced your online shopping most?,University,Illinois State,Snapchat,1,0.111
1141,What social platform has influenced your online shopping most?,University,Illinois State,Twitter,0,0.0
1142,What social platform has influenced your online shopping most?,University,Illinois State,None,4,0.444
1143,What social platform has influenced your online shopping most?,University,University of Guelph,Facebook,0,0.0
1144,What social platform has influenced your online shopping most?,University,University of Guelph,Instagram,1,1.0
1145,What social platform has influenced your online shopping most?,University,University of Guelph,Snapchat,0,0.0
1146,What social platform has influenced your online shopping most?,University,University of Guelph,Twitter,0,0.0
1147,What social platform has influenced your online shopping most?,University,University of Guelph,None,0,0.0
1148,What social platform has influenced your online shopping most?,University,Queens University,Facebook,0,0.0
1149,What social platform has influenced your online shopping most?,University,Queens University,Instagram,1,1.0
1150,What social platform has influenced your online shopping most?,University,Queens University,Snapchat,0,0.0
1151,What social platform has influenced your online shopping most?,University,Queens University,Twitter,0,0.0
1152,What social platform has influenced your online shopping most?,University,Queens University,None,0,0.0
1153,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Facebook,1,0.333
1154,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Instagram,0,0.0
1155,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Snapchat,0,0.0
1156,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Twitter,0,0.0
1157,What social platform has influenced your online shopping most?,University,University of Colorado Boulder,None,2,0.667
1158,What social platform has influenced your online shopping most?,University,University of Virginia,Facebook,66,0.251
1159,What social platform has influenced your online shopping most?,University,University of Virginia,Instagram,72,0.274
1160,What social platform has influenced your online shopping most?,University,University of Virginia,Snapchat,6,0.023
1161,What social platform has influenced your online shopping most?,University,University of Virginia,Twitter,12,0.046
1162,What social platform has influenced your online shopping most?,University,University of Virginia,None,107,0.407
1163,What social platform has influenced your online shopping most?,University,Villanova University,Facebook,2,1.0
1164,What social platform has influenced your online shopping most?,University,Villanova University,Instagram,0,0.0
1165,What social platform has influenced your online shopping most?,University,Villanova University,Snapchat,0,0.0
1166,What social platform has influenced your online shopping most?,University,Villanova University,Twitter,0,0.0
1167,What social platform has influenced your online shopping most?,University,Villanova University,None,0,0.0
1168,What social platform has influenced your online shopping most?,University,Centre College,Facebook,0,0.0
1169,What social platform has influenced your online shopping most?,University,Centre College,Instagram,0,0.0
1170,What social platform has influenced your online shopping most?,University,Centre College,Snapchat,0,0.0
1171,What social platform has influenced your online shopping most?,University,Centre College,Twitter,0,0.0
1172,What social platform has influenced your online shopping most?,University,Centre College,None,2,1.0
1173,What social platform has influenced your online shopping most?,University,Texas A&M University,Facebook,1,0.071
